wine_name,winery_name,country,region_1,grapes,rating,num_reviews
Tondonia,Lopez de Heredia,Spain,Rioja,Tempranillo blend,4.4,235
Fort Ross Top of Land,Fort Ross Vineyard,USA,Sonoma Coast,Pinot Noir,4.2,71
